Rank,Category,Similarity_Score,Extracted_Skills,Matched_Skills,Missing_Skills,Matched_Skill_Count,Final_Score
11,DESIGNER,22.38358572087958,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,15.668510004615705
12,INFORMATION-TECHNOLOGY,13.179752790118323,"['sql', 'python', 'data analysis']","['sql', 'python', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,15.225826953082827
13,AVIATION,9.810344320255208,"['git', 'natural language processing', 'sql', 'python']","['git', 'natural language processing', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'pandas']",4,14.867241024178645
14,SALES,15.498618501756688,"['machine learning', 'data analysis']","['machine learning', 'data analysis']","['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,14.849032951229681
15,ENGINEERING,12.428225761533962,"['machine learning', 'git', 'tensorflow']","['machine learning', 'git', 'tensorflow']","['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",3,14.699758033073772
16,TEACHER,17.15863921122012,['git'],['git'],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,14.011047447854082
17,TEACHER,15.637276814428686,['git'],['git'],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,12.94609377010008
18,DESIGNER,9.503918748955316,"['git', 'sql', 'data analysis']","['git', 'sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",3,12.65274312426872
19,DESIGNER,6.496761508402448,"['data visualization', 'git', 'sql', 'data analysis']","['data visualization', 'git', 'sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'natural language processing', 'python', 'pandas']",4,12.547733055881714
20,ENGINEERING,9.064467790369743,"['git', 'sql', 'python']","['git', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,12.34512745325882
21,DIGITAL-MEDIA,8.665498810781854,"['data visualization', 'git', 'sql']","['data visualization', 'git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'natural language processing', 'python', 'pandas']",3,12.065849167547297
22,INFORMATION-TECHNOLOGY,11.113452490066535,"['sql', 'python']","['sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,11.779416743046575
23,ENGINEERING,8.166176898949683,"['git', 'sql', 'python']","['git', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,11.716323829264777
24,ENGINEERING,10.89257161642866,"['sql', 'data analysis']","['sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,11.624800131500061
25,TEACHER,16.591099133121556,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,11.61376939318509
26,INFORMATION-TECHNOLOGY,7.933317893131687,"['git', 'sql', 'python']","['git', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,11.55332252519218
27,BANKING,4.960010314136332,"['nlp', 'git', 'sql', 'deep learning']","['nlp', 'git', 'sql', 'deep learning']","['numpy', 'scikit-learn', 'data analysis', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'data visualization', 'natural language processing', 'python', 'pandas']",4,11.472007219895431
28,BUSINESS-DEVELOPMENT,10.544824833602522,"['sql', 'python']","['sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,11.381377383521766
29,ENGINEERING,9.857759212783188,"['sql', 'python']","['sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,10.900431448948233
30,CONSULTANT,6.972115892467129,"['git', 'sql', 'python']","['git', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,10.880481124726991
31,ARTS,12.468128629239288,['data analysis'],['data analysis'],"['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,10.7276900404675
32,BANKING,9.444625656983401,"['sql', 'data analysis']","['sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,10.611237959888381
33,BUSINESS-DEVELOPMENT,9.435202688794952,"['data science', 'python']","['data science', 'python']","['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,10.604641882156466
34,SALES,12.217147315949347,['sql'],['sql'],"['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,10.552003121164542
35,TEACHER,14.955228836273948,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,10.468660185391762
36,DESIGNER,11.976123024184721,['data analysis'],['data analysis'],"['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,10.383286116929304
37,DIGITAL-MEDIA,8.997088979719393,"['machine learning', 'git']","['machine learning', 'git']","['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'tensorflow', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,10.297962285803575
38,APPAREL,6.016701617416518,"['git', 'sql', 'data analysis']","['git', 'sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",3,10.211691132191563
39,AVIATION,6.010209197850287,"['git', 'sql', 'data analysis']","['git', 'sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",3,10.2071464384952
40,CONSULTANT,8.787496246412474,"['git', 'sql']","['git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,10.151247372488731
41,ARTS,11.50676415227306,['data analysis'],['data analysis'],"['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,10.054734906591142
42,INFORMATION-TECHNOLOGY,11.476340658610045,['data analysis'],['data analysis'],"['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,10.033438461027032
43,ENGINEERING,11.346951851989683,['machine learning'],['machine learning'],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,9.942866296392777
44,CONSULTANT,11.267948005630764,['sql'],['sql'],"['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,9.887563603941533
45,DESIGNER,5.380227207433727,"['git', 'python', 'data analysis']","['git', 'python', 'data analysis']","['numpy', 'scikit-learn', 'sql', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,9.766159045203608
46,TEACHER,13.807800640124462,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,9.665460448087122
47,CONSULTANT,8.087775707238501,"['machine learning', 'sql']","['machine learning', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,9.66144299506695
48,DESIGNER,10.827037453993768,['sql'],['sql'],"['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,9.578926217795637
49,CONSULTANT,4.945351857174008,"['git', 'sql', 'python']","['git', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,9.461746300021805
50,FITNESS,7.78120115075419,"['sql', 'python']","['sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,9.446840805527932
51,INFORMATION-TECHNOLOGY,7.5563246894889,"['python', 'data analysis']","['python', 'data analysis']","['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,9.28942728264223
52,AVIATION,7.55178076942221,"['sql', 'python']","['sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,9.286246538595547
53,ENGINEERING,4.69397614982854,"['git', 'sql', 'python']","['git', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,9.285783304879978
54,DESIGNER,13.26295246164487,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,9.284066723151408
55,ENGINEERING,7.453508360646517,"['python', 'data analysis']","['python', 'data analysis']","['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,9.217455852452563
56,HEALTHCARE,4.500099676633895,"['data visualization', 'sql', 'data analysis']","['data visualization', 'sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'natural language processing', 'python', 'pandas']",3,9.150069773643727
57,INFORMATION-TECHNOLOGY,7.149035749422847,"['sql', 'data analysis']","['sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,9.004325024595992
58,BANKING,7.123710958879864,"['sql', 'data analysis']","['sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.986597671215904
59,ADVOCATE,7.025636520050482,"['sql', 'data analysis']","['sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.917945564035337
60,ENGINEERING,4.167764884420496,"['data science', 'sql', 'python']","['data science', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,8.917435419094346
61,AVIATION,7.000155059838073,"['git', 'data analysis']","['git', 'data analysis']","['numpy', 'scikit-learn', 'sql', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.90010854188665
62,INFORMATION-TECHNOLOGY,9.680264208766397,['sql'],['sql'],"['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,8.776184946136478
63,HEALTHCARE,6.813050305459267,"['sql', 'data analysis']","['sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.769135213821487
64,ENGINEERING,6.785804762266906,"['git', 'python']","['git', 'python']","['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,8.750063333586834
65,ENGINEERING,9.615307625205013,['python'],['python'],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",1,8.73071533764351
66,DIGITAL-MEDIA,3.898487815401536,"['data visualization', 'git', 'sql']","['data visualization', 'git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'natural language processing', 'python', 'pandas']",3,8.728941470781075
67,INFORMATION-TECHNOLOGY,3.884853131896836,"['git', 'sql', 'data analysis']","['git', 'sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",3,8.719397192327785
68,BUSINESS-DEVELOPMENT,6.724690012816778,"['sql', 'python']","['sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,8.707283008971743
69,TEACHER,12.297180722202052,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,8.608026505541435
70,BUSINESS-DEVELOPMENT,3.6618018767035116,"['git', 'data science', 'sql']","['git', 'data science', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",3,8.563261313692458
71,ENGINEERING,6.489125361025949,"['sql', 'data analysis']","['sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.542387752718163
72,INFORMATION-TECHNOLOGY,9.342101808176531,['python'],['python'],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",1,8.539471265723572
73,INFORMATION-TECHNOLOGY,6.394356292562967,"['git', 'sql']","['git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.476049404794075
74,AGRICULTURE,6.253114374841153,"['git', 'data analysis']","['git', 'data analysis']","['numpy', 'scikit-learn', 'sql', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.377180062388806
75,DESIGNER,11.964809141063698,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,8.375366398744589
76,ARTS,9.097179454709757,['git'],['git'],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,8.36802561829683
77,CONSULTANT,6.233818497183153,"['git', 'sql']","['git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.363672948028206
78,ARTS,11.942820239879586,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,8.35997416791571
79,BANKING,6.164272310414938,"['python', 'data analysis']","['python', 'data analysis']","['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,8.314990617290455
80,CONSULTANT,9.016574081525649,['sql'],['sql'],"['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,8.311601857067954
81,INFORMATION-TECHNOLOGY,6.159214793116184,"['git', 'sql']","['git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.311450355181329
82,ENGINEERING,6.104649257621309,"['git', 'sql']","['git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,8.273254480334916
83,HEALTHCARE,8.766815321504247,['git'],['git'],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,8.136770725052973
84,TEACHER,11.601201894130208,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,8.120841325891146
85,DESIGNER,5.794089723757759,"['sql', 'python']","['sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,8.055862806630431
86,ARTS,11.474464823140275,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,8.032125376198191
87,ARTS,8.573409349816954,['data analysis'],['data analysis'],"['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,8.001386544871867
88,TEACHER,11.41377533681437,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,7.989642735770058
89,CONSULTANT,2.8211737566853463,"['git', 'sql', 'data analysis']","['git', 'sql', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",3,7.9748216296797425
90,TEACHER,11.323221469538897,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,7.926255028677227
91,INFORMATION-TECHNOLOGY,5.458756017864152,"['git', 'sql']","['git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,7.821129212504906
92,INFORMATION-TECHNOLOGY,5.386057517777297,"['git', 'sql']","['git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,7.770240262444108
93,TEACHER,8.1353445868007,['git'],['git'],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,7.69474121076049
94,INFORMATION-TECHNOLOGY,5.21131230605993,"['git', 'sql']","['git', 'sql']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",2,7.64791861424195
95,BPO,8.040339794075498,['sql'],['sql'],"['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,7.6282378558528485
96,ENGINEERING,7.981170286856115,['machine learning'],['machine learning'],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,7.5868192007992805
97,AVIATION,5.097042091961741,"['git', 'python']","['git', 'python']","['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",2,7.5679294643732185
98,PUBLIC-RELATIONS,10.769157372455682,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,7.538410160718977
99,ARTS,10.707502954252906,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,7.495252067977034
100,INFORMATION-TECHNOLOGY,7.80990221860864,['data analysis'],['data analysis'],"['numpy', 'scikit-learn', 'sql', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",1,7.466931553026048
